ลำดับ,รายการงานและขอบเขตงาน,จำนวน,หน่วย,ราคาต่อหน่วย,ราคารวม,หมวดช่าง
1,งานเตรียมพื้นที่ กั้นโซนพลาสติกป้องกันฝุ่น และปูแผ่นกันรอยพื้น,1,งาน,3500,3500,งานรื้อถอน
2,งานรื้อถอนกระเบื้องเดิม สุขภัณฑ์เดิม และขนย้ายเศษวัสดุไปทิ้ง,1,งาน,6500,6500,งานรื้อถอน
3,งานเดินท่อน้ำดี PPR และท่อน้ำทิ้ง PVC พร้อมทดสอบแรงดันน้ำ,3,จุด,1200,3600,งานประปา
4,งานกรีดผนังร้อยท่อสายไฟเมน ติดตั้งเต้ารับ ปลั๊ก และสวิตช์,8,จุด,550,4400,งานไฟฟ้า
5,งานติดตั้งโครงคร่าว C-Line และแผ่นฝ้าเพดานยิปซัมกันชื้น,25,ตร.ม.,380,9500,งานฝ้าเพดาน
6,งานเทปูนปรับระดับพื้น ทากันซึม และปูกระเบื้องพื้นผนังพร้อมยาแนว,40,ตร.ม.,450,18000,งานปูกระเบื้อง
7,งานฉาบสกิมโค้ท ทาสีรองพื้นปูนเก่า และทาสีจริงกึ่งเงา 2 เที่ยว,55,ตร.ม.,160,8800,งานทาสี
8,งานติดตั้งสุขภัณฑ์ห้องน้ำ ชักโครก อ่างล้างหน้า ฝักบัว และฉากกั้น,1,ชุด,4500,4500,งานสุขภัณฑ์
9,งานติดตั้งโคมไฟดาวน์ไลท์ LED และพัดลมระบายอากาศ,6,ชุด,650,3900,งานไฟฟ้า
10,งานทำความสะอาด Deep Clean เคลียร์พื้นที่ และตรวจรับส่งมอบ,1,งาน,2000,2000,งานติดตั้งทั่วไป
